client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:43:41.636912Z,2020-12-07T18:43:41.719490Z
127.0.0.1:55305,ReadOnlyEarlyRelease,Ok,2020-12-07T18:43:41.723700Z,2020-12-07T18:43:42.176495Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:43:42.178844Z,2020-12-07T18:43:42.213403Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:43:42.214722Z,2020-12-07T18:43:42.262345Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:43:42.263787Z,2020-12-07T18:43:42.269558Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:43:42.270931Z,2020-12-07T18:43:46.899508Z
127.0.0.1:55305,WriteOnly,Ok,2020-12-07T18:43:46.901560Z,2020-12-07T18:43:46.951649Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:43:46.953242Z,2020-12-07T18:43:46.999233Z
127.0.0.1:55305,WriteOnly,Ok,2020-12-07T18:43:47.000949Z,2020-12-07T18:43:47.046884Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:43:47.048438Z,2020-12-07T18:43:47.099269Z
127.0.0.1:55305,WriteOnlyEarlyRelease,Ok,2020-12-07T18:43:47.100655Z,2020-12-07T18:43:47.148966Z
127.0.0.1:55305,ReadOnlyEarlyRelease,Ok,2020-12-07T18:43:47.151647Z,2020-12-07T18:43:47.208654Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:43:47.210735Z,2020-12-07T18:43:47.258885Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:43:47.260631Z,2020-12-07T18:43:47.313926Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:43:47.315245Z,2020-12-07T18:43:47.316554Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:43:47.318081Z,2020-12-07T18:43:58.666396Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:43:58.669500Z,2020-12-07T18:43:58.734168Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:43:58.737739Z,2020-12-07T18:43:58.752482Z
127.0.0.1:55305,ReadOnlyEarlyRelease,Ok,2020-12-07T18:43:58.767104Z,2020-12-07T18:44:00.037256Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:00.039129Z,2020-12-07T18:44:02.538866Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:02.540812Z,2020-12-07T18:44:02.578914Z
127.0.0.1:55305,WriteOnlyEarlyRelease,Ok,2020-12-07T18:44:02.581258Z,2020-12-07T18:44:02.618352Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:02.620426Z,2020-12-07T18:44:02.655644Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:02.656838Z,2020-12-07T18:44:02.699538Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:02.701663Z,2020-12-07T18:44:02.705178Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:02.706848Z,2020-12-07T18:44:07.663063Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:07.665656Z,2020-12-07T18:44:10.333124Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:10.336895Z,2020-12-07T18:44:10.380689Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:10.382507Z,2020-12-07T18:44:10.384762Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:10.386387Z,2020-12-07T18:44:14.045484Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:14.050551Z,2020-12-07T18:44:14.102915Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:14.109602Z,2020-12-07T18:44:14.120352Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:14.131545Z,2020-12-07T18:44:14.258358Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:14.260681Z,2020-12-07T18:44:14.315664Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:14.321081Z,2020-12-07T18:44:14.373739Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:14.384219Z,2020-12-07T18:44:14.398978Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:14.407050Z,2020-12-07T18:44:14.547515Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:14.549483Z,2020-12-07T18:44:14.602269Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:14.616063Z,2020-12-07T18:44:14.627582Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:14.636488Z,2020-12-07T18:44:14.766208Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:14.767944Z,2020-12-07T18:44:14.812071Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:14.814490Z,2020-12-07T18:44:14.816460Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:14.819332Z,2020-12-07T18:44:14.926032Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:14.930814Z,2020-12-07T18:44:14.971172Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:14.972425Z,2020-12-07T18:44:15.008130Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:15.009285Z,2020-12-07T18:44:15.010595Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:15.012121Z,2020-12-07T18:44:15.159936Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:15.161206Z,2020-12-07T18:44:15.351991Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:15.353961Z,2020-12-07T18:44:15.356722Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:15.358235Z,2020-12-07T18:44:15.616084Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:15.621355Z,2020-12-07T18:44:15.800803Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:15.806041Z,2020-12-07T18:44:15.808433Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:15.809973Z,2020-12-07T18:44:25.727556Z
127.0.0.1:55305,WriteOnly,Ok,2020-12-07T18:44:25.731642Z,2020-12-07T18:44:25.783208Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:25.785922Z,2020-12-07T18:44:25.836697Z
127.0.0.1:55305,WriteOnlyEarlyRelease,Ok,2020-12-07T18:44:25.838547Z,2020-12-07T18:44:25.891676Z
127.0.0.1:55305,ReadOnlyEarlyRelease,Ok,2020-12-07T18:44:25.894043Z,2020-12-07T18:44:25.947227Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:25.949884Z,2020-12-07T18:44:26.004325Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:26.005600Z,2020-12-07T18:44:26.056476Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:26.058545Z,2020-12-07T18:44:26.060242Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:26.061630Z,2020-12-07T18:44:31.693838Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:31.696704Z,2020-12-07T18:44:31.757347Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:31.772678Z,2020-12-07T18:44:31.781209Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:31.787976Z,2020-12-07T18:44:36.528382Z
127.0.0.1:55305,WriteOnly,Ok,2020-12-07T18:44:36.530482Z,2020-12-07T18:44:36.579355Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:36.580686Z,2020-12-07T18:44:36.639322Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:36.641327Z,2020-12-07T18:44:36.643902Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:36.646911Z,2020-12-07T18:44:38.866096Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:38.872272Z,2020-12-07T18:44:43.493351Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:43.495713Z,2020-12-07T18:44:43.549102Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:43.551514Z,2020-12-07T18:44:43.605876Z
127.0.0.1:55305,ReadOnlyEarlyRelease,Ok,2020-12-07T18:44:43.607286Z,2020-12-07T18:44:43.665100Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:43.668014Z,2020-12-07T18:44:43.735750Z
127.0.0.1:55305,WriteOnlyEarlyRelease,Ok,2020-12-07T18:44:43.737674Z,2020-12-07T18:44:43.788623Z
127.0.0.1:55305,WriteOnlyEarlyRelease,Ok,2020-12-07T18:44:43.790432Z,2020-12-07T18:44:43.841524Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:43.843569Z,2020-12-07T18:44:43.893794Z
127.0.0.1:55305,WriteOnlyEarlyRelease,Ok,2020-12-07T18:44:43.911619Z,2020-12-07T18:44:43.965223Z
127.0.0.1:55305,WriteOnlyEarlyRelease,Ok,2020-12-07T18:44:43.967191Z,2020-12-07T18:44:44.016697Z
127.0.0.1:55305,WriteOnly,Ok,2020-12-07T18:44:44.019073Z,2020-12-07T18:44:44.070022Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:44.071876Z,2020-12-07T18:44:44.127653Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:44.129522Z,2020-12-07T18:44:44.131184Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:44.133191Z,2020-12-07T18:44:45.969475Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:45.977023Z,2020-12-07T18:44:46.030802Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:46.033033Z,2020-12-07T18:44:46.034493Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:46.036013Z,2020-12-07T18:44:48.949930Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:48.953578Z,2020-12-07T18:44:48.993747Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:48.995326Z,2020-12-07T18:44:49.030456Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:49.031819Z,2020-12-07T18:44:49.033726Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:49.034785Z,2020-12-07T18:44:50.528856Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:50.530396Z,2020-12-07T18:44:50.579349Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:50.592259Z,2020-12-07T18:44:50.598797Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:50.602632Z,2020-12-07T18:44:50.726274Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:50.727710Z,2020-12-07T18:44:50.769899Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:50.773525Z,2020-12-07T18:44:50.777492Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:50.786607Z,2020-12-07T18:44:50.913998Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:50.915637Z,2020-12-07T18:44:50.957570Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:50.959501Z,2020-12-07T18:44:50.961178Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:50.965146Z,2020-12-07T18:44:51.079540Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:51.082660Z,2020-12-07T18:44:52.129548Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:52.131046Z,2020-12-07T18:44:52.132831Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:52.134803Z,2020-12-07T18:44:56.647722Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:56.666034Z,2020-12-07T18:44:56.740664Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:56.742995Z,2020-12-07T18:44:56.805753Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:56.809212Z,2020-12-07T18:44:56.812559Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:56.814317Z,2020-12-07T18:44:56.926495Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:56.927807Z,2020-12-07T18:44:56.973293Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:56.977817Z,2020-12-07T18:44:56.982610Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:56.987178Z,2020-12-07T18:44:57.096053Z
127.0.0.1:55305,ReadOnly,Ok,2020-12-07T18:44:57.097920Z,2020-12-07T18:44:57.135866Z
127.0.0.1:55305,Commit,Ok,2020-12-07T18:44:57.139263Z,2020-12-07T18:44:57.178576Z
127.0.0.1:55305,BeginTx,Ok,2020-12-07T18:44:57.186357Z,2020-12-07T18:44:57.190928Z
