client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:39:18.915089Z,2020-12-07T19:39:18.952706Z
127.0.0.1:62396,ReadOnlyEarlyRelease,Ok,2020-12-07T19:39:18.955456Z,2020-12-07T19:39:19.259774Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:39:19.338596Z,2020-12-07T19:39:19.390918Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:39:19.421418Z,2020-12-07T19:39:19.504528Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:39:19.548441Z,2020-12-07T19:39:19.575110Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:39:19.589653Z,2020-12-07T19:39:20.832145Z
127.0.0.1:62396,WriteOnly,Ok,2020-12-07T19:39:20.837255Z,2020-12-07T19:39:20.870498Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:39:20.887212Z,2020-12-07T19:39:20.926550Z
127.0.0.1:62396,WriteOnly,Ok,2020-12-07T19:39:20.937160Z,2020-12-07T19:39:20.987652Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:39:20.989182Z,2020-12-07T19:39:21.022044Z
127.0.0.1:62396,WriteOnlyEarlyRelease,Ok,2020-12-07T19:39:21.030244Z,2020-12-07T19:39:21.075497Z
127.0.0.1:62396,ReadOnlyEarlyRelease,Ok,2020-12-07T19:39:21.077139Z,2020-12-07T19:39:21.113825Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:39:21.115436Z,2020-12-07T19:39:21.151759Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:39:21.153067Z,2020-12-07T19:39:21.193260Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:39:21.194437Z,2020-12-07T19:39:21.196939Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:39:21.198346Z,2020-12-07T19:39:44.382882Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:39:44.384501Z,2020-12-07T19:39:44.424766Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:39:44.428578Z,2020-12-07T19:39:44.432502Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:39:44.435671Z,2020-12-07T19:39:47.083246Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:39:47.085042Z,2020-12-07T19:39:47.121893Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:39:47.124277Z,2020-12-07T19:39:47.126582Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:39:47.127999Z,2020-12-07T19:39:54.951300Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:39:54.958467Z,2020-12-07T19:39:55.020511Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:39:55.023578Z,2020-12-07T19:39:55.025850Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:39:55.027528Z,2020-12-07T19:40:00.692917Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:00.718379Z,2020-12-07T19:40:00.809233Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:00.812316Z,2020-12-07T19:40:00.816913Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:00.818757Z,2020-12-07T19:40:00.994328Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:01.002383Z,2020-12-07T19:40:01.079716Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:01.088093Z,2020-12-07T19:40:01.142451Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:01.144977Z,2020-12-07T19:40:01.149839Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:01.152619Z,2020-12-07T19:40:04.024748Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:04.026060Z,2020-12-07T19:40:04.084513Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:04.087925Z,2020-12-07T19:40:04.091296Z
127.0.0.1:62396,ReadOnlyEarlyRelease,Ok,2020-12-07T19:40:04.092634Z,2020-12-07T19:40:08.070941Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:08.074461Z,2020-12-07T19:40:08.118634Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:08.125606Z,2020-12-07T19:40:08.165889Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:08.167367Z,2020-12-07T19:40:08.169215Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:08.170823Z,2020-12-07T19:40:20.339325Z
127.0.0.1:62396,WriteOnly,Ok,2020-12-07T19:40:20.341577Z,2020-12-07T19:40:20.396988Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:20.399093Z,2020-12-07T19:40:20.448367Z
127.0.0.1:62396,WriteOnlyEarlyRelease,Ok,2020-12-07T19:40:20.452795Z,2020-12-07T19:40:20.500531Z
127.0.0.1:62396,ReadOnlyEarlyRelease,Ok,2020-12-07T19:40:20.502473Z,2020-12-07T19:40:20.553947Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:20.556304Z,2020-12-07T19:40:20.604966Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:20.606412Z,2020-12-07T19:40:20.656699Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:20.658396Z,2020-12-07T19:40:20.659933Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:20.661542Z,2020-12-07T19:40:21.646533Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:21.650874Z,2020-12-07T19:40:21.694737Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:21.699273Z,2020-12-07T19:40:21.708809Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:21.729087Z,2020-12-07T19:40:25.148461Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:25.150532Z,2020-12-07T19:40:28.381433Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:28.384458Z,2020-12-07T19:40:28.386416Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:28.387695Z,2020-12-07T19:40:31.164273Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:31.165882Z,2020-12-07T19:40:37.809135Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:37.810770Z,2020-12-07T19:40:37.813961Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:37.815418Z,2020-12-07T19:40:40.385983Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:40.392770Z,2020-12-07T19:40:40.460041Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:40.462511Z,2020-12-07T19:40:40.467361Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:40.472783Z,2020-12-07T19:40:40.596603Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:40.599337Z,2020-12-07T19:40:40.650972Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:40.657200Z,2020-12-07T19:40:40.754966Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:40.763522Z,2020-12-07T19:40:40.778090Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:40.779507Z,2020-12-07T19:40:40.934542Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:40.940065Z,2020-12-07T19:40:40.999482Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:41.000964Z,2020-12-07T19:40:41.004096Z
127.0.0.1:62396,WriteOnly,Ok,2020-12-07T19:40:41.015392Z,2020-12-07T19:40:47.484094Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:47.485612Z,2020-12-07T19:40:47.524671Z
127.0.0.1:62396,WriteOnlyEarlyRelease,Ok,2020-12-07T19:40:47.526599Z,2020-12-07T19:40:47.564073Z
127.0.0.1:62396,ReadOnlyEarlyRelease,Ok,2020-12-07T19:40:47.565688Z,2020-12-07T19:40:47.604055Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:47.605790Z,2020-12-07T19:40:47.641888Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:47.643401Z,2020-12-07T19:40:47.682890Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:47.685421Z,2020-12-07T19:40:47.687623Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:47.689261Z,2020-12-07T19:40:54.146156Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:54.149794Z,2020-12-07T19:40:54.204899Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:40:54.206964Z,2020-12-07T19:40:54.213912Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:40:54.217528Z,2020-12-07T19:40:58.586046Z
127.0.0.1:62396,Commit,Ok,2020-12-07T19:40:58.587764Z,2020-12-07T19:41:00.005054Z
127.0.0.1:62396,BeginTx,Ok,2020-12-07T19:41:00.006682Z,2020-12-07T19:41:00.010450Z
127.0.0.1:62396,ReadOnly,Ok,2020-12-07T19:41:00.013177Z,2020-12-07T19:41:03.722221Z
