client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:52:54.442887Z,2020-12-07T09:52:54.474200Z
127.0.0.1:50782,ReadOnlyEarlyRelease,Ok,2020-12-07T09:52:54.479379Z,2020-12-07T09:52:54.727767Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:52:54.731318Z,2020-12-07T09:52:54.792248Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:52:54.804323Z,2020-12-07T09:52:54.869239Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:52:54.871141Z,2020-12-07T09:52:54.872729Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:52:54.874348Z,2020-12-07T09:53:00.182692Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:00.184683Z,2020-12-07T09:53:00.219372Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:00.221908Z,2020-12-07T09:53:00.254610Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:00.255940Z,2020-12-07T09:53:00.293463Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:00.295925Z,2020-12-07T09:53:00.330442Z
127.0.0.1:50782,WriteOnlyEarlyRelease,Ok,2020-12-07T09:53:00.332585Z,2020-12-07T09:53:00.367258Z
127.0.0.1:50782,ReadOnlyEarlyRelease,Ok,2020-12-07T09:53:00.369284Z,2020-12-07T09:53:00.405777Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:00.407849Z,2020-12-07T09:53:00.448713Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:53:00.450216Z,2020-12-07T09:53:00.484390Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:53:00.486017Z,2020-12-07T09:53:00.487233Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:00.488503Z,2020-12-07T09:53:02.815048Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:53:02.817133Z,2020-12-07T09:53:02.867174Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:53:02.870057Z,2020-12-07T09:53:02.874193Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:02.876021Z,2020-12-07T09:53:05.051721Z
