client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:13.050630Z,2020-12-07T19:01:13.057019Z
127.0.0.1:57519,ReadOnlyEarlyRelease,Ok,2020-12-07T19:01:13.059850Z,2020-12-07T19:01:13.288133Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:13.289959Z,2020-12-07T19:01:13.328385Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:13.330636Z,2020-12-07T19:01:13.366991Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:13.372963Z,2020-12-07T19:01:13.374961Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:13.376178Z,2020-12-07T19:01:15.061311Z
127.0.0.1:57519,WriteOnly,Ok,2020-12-07T19:01:15.063460Z,2020-12-07T19:01:15.102448Z
127.0.0.1:57519,WriteOnly,Ok,2020-12-07T19:01:15.105297Z,2020-12-07T19:01:15.139607Z
127.0.0.1:57519,WriteOnly,Ok,2020-12-07T19:01:15.141398Z,2020-12-07T19:01:15.176666Z
127.0.0.1:57519,WriteOnly,Ok,2020-12-07T19:01:15.178122Z,2020-12-07T19:01:15.218613Z
127.0.0.1:57519,WriteOnly,Ok,2020-12-07T19:01:15.220335Z,2020-12-07T19:01:15.257313Z
127.0.0.1:57519,WriteOnly,Ok,2020-12-07T19:01:15.258899Z,2020-12-07T19:01:15.292820Z
127.0.0.1:57519,WriteOnly,Ok,2020-12-07T19:01:15.294763Z,2020-12-07T19:01:15.328932Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:15.331084Z,2020-12-07T19:01:15.365540Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:15.368044Z,2020-12-07T19:01:15.403605Z
127.0.0.1:57519,WriteOnlyEarlyRelease,Ok,2020-12-07T19:01:15.405951Z,2020-12-07T19:01:15.441795Z
127.0.0.1:57519,ReadOnlyEarlyRelease,Ok,2020-12-07T19:01:15.444082Z,2020-12-07T19:01:15.479707Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:15.481482Z,2020-12-07T19:01:15.517103Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:15.519399Z,2020-12-07T19:01:15.555029Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:15.556916Z,2020-12-07T19:01:15.558636Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:15.560156Z,2020-12-07T19:01:16.549396Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:16.551461Z,2020-12-07T19:01:16.591028Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:16.592901Z,2020-12-07T19:01:16.595175Z
127.0.0.1:57519,ReadOnlyEarlyRelease,Ok,2020-12-07T19:01:16.597097Z,2020-12-07T19:01:17.331124Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:17.332669Z,2020-12-07T19:01:17.715489Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:17.717205Z,2020-12-07T19:01:17.755113Z
127.0.0.1:57519,WriteOnlyEarlyRelease,Ok,2020-12-07T19:01:17.756949Z,2020-12-07T19:01:17.794223Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:17.795826Z,2020-12-07T19:01:17.829661Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:17.830820Z,2020-12-07T19:01:17.869092Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:17.871392Z,2020-12-07T19:01:17.874219Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:17.875830Z,2020-12-07T19:01:17.989Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:17.990262Z,2020-12-07T19:01:18.161691Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:18.163055Z,2020-12-07T19:01:18.203285Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:18.205881Z,2020-12-07T19:01:18.207927Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:18.209261Z,2020-12-07T19:01:18.316808Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:18.318259Z,2020-12-07T19:01:18.359096Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:18.361974Z,2020-12-07T19:01:18.364246Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:18.365778Z,2020-12-07T19:01:18.470264Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:18.472284Z,2020-12-07T19:01:18.526034Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:18.529770Z,2020-12-07T19:01:18.572747Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:18.574680Z,2020-12-07T19:01:18.576644Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:18.578791Z,2020-12-07T19:01:18.692439Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:18.695086Z,2020-12-07T19:01:18.733351Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:18.734873Z,2020-12-07T19:01:18.737468Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:18.738900Z,2020-12-07T19:01:18.844855Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:18.846843Z,2020-12-07T19:01:18.884152Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:18.885854Z,2020-12-07T19:01:18.937690Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:18.957727Z,2020-12-07T19:01:18.962508Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:18.965503Z,2020-12-07T19:01:19.117021Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:19.118416Z,2020-12-07T19:01:19.165070Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:19.176625Z,2020-12-07T19:01:19.178760Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:19.181706Z,2020-12-07T19:01:19.304534Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:19.308142Z,2020-12-07T19:01:19.394620Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:19.396062Z,2020-12-07T19:01:19.397922Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:19.399384Z,2020-12-07T19:01:21.242533Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:21.244132Z,2020-12-07T19:01:21.397106Z
127.0.0.1:57519,WriteOnlyEarlyRelease,Ok,2020-12-07T19:01:21.399012Z,2020-12-07T19:01:21.540067Z
127.0.0.1:57519,ReadOnlyEarlyRelease,Ok,2020-12-07T19:01:21.542038Z,2020-12-07T19:01:21.576914Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:21.578619Z,2020-12-07T19:01:21.706568Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:21.707882Z,2020-12-07T19:01:21.758619Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:21.760573Z,2020-12-07T19:01:21.762116Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:21.763322Z,2020-12-07T19:01:22.544655Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:22.547696Z,2020-12-07T19:01:22.678850Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:22.680298Z,2020-12-07T19:01:22.682482Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:22.683837Z,2020-12-07T19:01:23.591012Z
127.0.0.1:57519,WriteOnly,Ok,2020-12-07T19:01:23.592895Z,2020-12-07T19:01:23.628480Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:23.629907Z,2020-12-07T19:01:23.670256Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:23.672996Z,2020-12-07T19:01:23.675252Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:23.676464Z,2020-12-07T19:01:24.243243Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:24.245108Z,2020-12-07T19:01:24.284844Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:24.290130Z,2020-12-07T19:01:24.325767Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:24.327580Z,2020-12-07T19:01:24.329124Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:24.330637Z,2020-12-07T19:01:25.126475Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:25.128555Z,2020-12-07T19:01:25.167703Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:25.173190Z,2020-12-07T19:01:25.176325Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:25.179154Z,2020-12-07T19:01:25.289194Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:25.291022Z,2020-12-07T19:01:25.336088Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:25.338547Z,2020-12-07T19:01:25.376993Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:25.378882Z,2020-12-07T19:01:25.380847Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:25.382364Z,2020-12-07T19:01:25.848477Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:25.851083Z,2020-12-07T19:01:25.887957Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:25.889824Z,2020-12-07T19:01:25.892198Z
127.0.0.1:57519,ReadOnly,Ok,2020-12-07T19:01:25.894055Z,2020-12-07T19:01:26.003276Z
127.0.0.1:57519,Commit,Ok,2020-12-07T19:01:26.006915Z,2020-12-07T19:01:26.041923Z
127.0.0.1:57519,BeginTx,Ok,2020-12-07T19:01:26.043288Z,2020-12-07T19:01:26.044828Z
