client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:65478,BeginTx,Ok,2020-12-07T09:39:52.166596Z,2020-12-07T09:39:52.172829Z
127.0.0.1:65478,ReadOnlyEarlyRelease,Ok,2020-12-07T09:39:52.199189Z,2020-12-07T09:39:52.429763Z
127.0.0.1:65478,ReadOnly,Ok,2020-12-07T09:39:52.431711Z,2020-12-07T09:39:52.478297Z
127.0.0.1:65478,Commit,Ok,2020-12-07T09:39:52.479893Z,2020-12-07T09:39:52.522659Z
127.0.0.1:65478,BeginTx,Ok,2020-12-07T09:39:52.524789Z,2020-12-07T09:39:52.526427Z
127.0.0.1:65478,ReadOnly,Ok,2020-12-07T09:39:52.528542Z,2020-12-07T09:39:53.835267Z
127.0.0.1:65478,WriteOnly,Err,2020-12-07T09:39:53.838359Z,2020-12-07T09:39:53.876696Z
127.0.0.1:65478,ReadOnly,Err,2020-12-07T09:39:53.878518Z,2020-12-07T09:39:53.913333Z
127.0.0.1:65478,ReadOnly,Err,2020-12-07T09:39:53.915060Z,2020-12-07T09:39:53.950999Z
127.0.0.1:65478,Commit,Ok,2020-12-07T09:39:53.952538Z,2020-12-07T09:39:53.991229Z
127.0.0.1:65478,BeginTx,Ok,2020-12-07T09:39:54.017802Z,2020-12-07T09:39:54.030621Z
127.0.0.1:65478,ReadOnly,Ok,2020-12-07T09:39:54.051972Z,2020-12-07T09:39:57.028543Z
127.0.0.1:65478,Commit,Ok,2020-12-07T09:39:57.032048Z,2020-12-07T09:39:57.070717Z
127.0.0.1:65478,BeginTx,Ok,2020-12-07T09:39:57.075885Z,2020-12-07T09:39:57.090189Z
127.0.0.1:65478,ReadOnlyEarlyRelease,Ok,2020-12-07T09:39:57.092174Z,2020-12-07T09:39:57.200815Z
127.0.0.1:65478,ReadOnly,Ok,2020-12-07T09:39:57.203001Z,2020-12-07T09:39:58.052149Z
127.0.0.1:65478,ReadOnly,Ok,2020-12-07T09:39:58.055812Z,2020-12-07T09:39:58.092032Z
127.0.0.1:65478,WriteOnlyEarlyRelease,Ok,2020-12-07T09:39:58.094840Z,2020-12-07T09:39:58.141203Z
127.0.0.1:65478,ReadOnly,Ok,2020-12-07T09:39:58.143202Z,2020-12-07T09:39:58.183204Z
127.0.0.1:65478,Commit,Ok,2020-12-07T09:39:58.184758Z,2020-12-07T09:39:58.221717Z
127.0.0.1:65478,BeginTx,Ok,2020-12-07T09:39:58.223602Z,2020-12-07T09:39:58.225493Z
